Pseudomonas syringae pv. tomato str. DC3000 chromosome, complete genome - 1..6397126
5481 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
136326..137708	-	460	28867355	-	PSPTO_0115	-	COG0534V	multidrug efflux protein NorA
137865..138785	+	306	28867356	-	PSPTO_0116	-	COG0583K	LysR family transcriptional regulator
138969..140945	+	658	28867357	-	PSPTO_0117	-	COG0840NT	methyl-accepting chemotaxis protein
141265..142917	+	550	28867358	-	PSPTO_0118	-	COG1283P	Na/Pi cotransporter family protein
142975..144354	+	459	28867359	-	PSPTO_0119	-	COG0612R	peptidase, M16 family
144451..145638	+	395	28867360	-	PSPTO_0120	-	COG4982I	membrane protein
145643..146884	-	413	28867361	-	PSPTO_0121	-	COG2715R	membrane protein
147445..147960	+	171	28867363	-	PSPTO_0123	-	COG2963L	ISPsy8, transposase OrfA
148017..148796	+	259	28867364	-	PSPTO_0124	-	COG2801L	ISPsy8, transposase OrfB
148983..150377	-	464	28867365	argH	PSPTO_0125	-	COG0165E	argininosuccinate lyase
150512..151594	+	360	28867366	-	PSPTO_0126	-	COG2972T	alginate biosynthesis protein AlgZ/FimS
151591..152337	+	248	28867367	algR	PSPTO_0127	-	COG3279KT	alginate biosynthesis regulatory protein AlgR
152560..153501	+	313	28867368	hemC	PSPTO_0128	-	COG0181H	porphobilinogen deaminase
153498..154274	+	258	28867369	hemD	PSPTO_0129	-	COG1587H	uroporphyrinogen-III synthase
154316..155446	+	376	28867370	-	PSPTO_0130	-	COG2959H	uroporphyrin-III C-methyltransferase
155443..156687	+	414	28867371	-	PSPTO_0131	-	COG3071H	hemY protein
156902..157429	+	175	28867372	-	PSPTO_0132	-	COG1495O	DsbB family protein
157434..157586	+	50	28867373	-	PSPTO_0133	-	-	hypothetical protein
157604..158077	+	157	28867374	algQ	PSPTO_0134	-	COG3160K	transcriptional regulator AlgQ
158162..158836	-	224	28867375	-	PSPTO_0135	-	COG0545O	FKBP-type peptidyl-prolyl cis-trans isomerase
159053..160009	+	318	28867376	-	PSPTO_0136	-	COG5373S	alginate regulatory protein AlgR3
160006..160494	-	162	28867377	-	PSPTO_0137	-	COG5589S	hypothetical protein
160496..162451	+	651	28867378	-	PSPTO_0138	-	COG0488R	ABC transporter ATP-binding protein
162468..163061	+	197	28867379	-	PSPTO_0139	-	COG0668M	hypothetical protein
163128..163760	+	210	28867380	-	PSPTO_0140	-	COG1280E	homoserine/homoserine lactone efflux protein
163941..165839	+	632	28867381	-	PSPTO_0141	-	COG0672P	lead uptake protein
166054..166284	+	76	28867382	-	PSPTO_0142	-	-	hypothetical protein
166389..166676	-	95	28867383	-	PSPTO_0143	-	COG3529R	hypothetical protein
166673..168724	-	683	28867384	prlC	PSPTO_0144	-	COG0339E	oligopeptidase A
168837..169382	+	181	28867385	-	PSPTO_0145	-	COG0663R	hypothetical protein
169523..170578	-	351	28867386	-	PSPTO_0146	-	COG4324R	hypothetical protein
170766..171197	+	143	28867387	-	PSPTO_0147	-	-	hypothetical protein
171406..173142	+	578	28867388	-	PSPTO_0148	-	COG1297S	oligopeptide transporter
173456..174133	+	225	28867389	-	PSPTO_0149	-	-	hypothetical protein
174152..174586	+	144	28867390	-	PSPTO_0150	-	-	lipoprotein
174587..174820	-	77	28867391	-	PSPTO_0151	-	-	hypothetical protein
174938..175369	-	143	28867392	osmC	PSPTO_0152	-	COG1764O	osmotically inducible protein
175580..176581	+	333	28867393	-	PSPTO_0153	-	COG2141C	luciferase family protein
176728..176952	-	74	28867394	-	PSPTO_0154	-	-	hypothetical protein
177102..177317	-	71	28867395	-	PSPTO_0155	-	COG3360S	hypothetical protein
177485..177811	+	108	28867396	-	PSPTO_0156	-	COG4575S	hypothetical protein
177812..178720	-	302	28867397	trpI	PSPTO_0157	-	COG0583K	trpBA operon transcriptional activator
178848..180077	+	409	28867398	trpB	PSPTO_0158	-	COG0133E	tryptophan synthase subunit beta
180074..180886	+	270	28867399	trpA	PSPTO_0159	-	COG0159E	tryptophan synthase subunit alpha
181013..181528	+	171	28867401	-	PSPTO_0161	-	-	hypothetical protein
181714..182538	-	274	28867402	-	PSPTO_0162	-	COG0596R	3-oxoadipate enol-lactone hydrolase family protein
182751..183083	-	110	28867403	-	PSPTO_0163	-	COG3805Q	hypothetical protein
183857..184807	-	316	28867404	-	PSPTO_0164	-	COG0583K	LysR family transcriptional regulator
184922..186427	+	501	28867405	-	PSPTO_0165	-	COG3119P	sulfatase family protein
186464..187390	+	308	28867406	-	PSPTO_0166	-	COG2113E	glycine/betaine family, ABC transporter, substrate-binding protein
187452..187874	+	140	28867407	-	PSPTO_0167	-	-	hypothetical protein
187946..189514	+	522	28867408	-	PSPTO_0168	-	COG0659P	sulfate transporter family protein
189618..190442	-	274	28867409	aroE	PSPTO_0169	-	COG0169E	shikimate 5-dehydrogenase
190442..191356	-	304	28867410	hemF	PSPTO_0170	-	COG0408H	coproporphyrinogen III oxidase
191660..192508	+	282	158146061	-	PSPTO_5630	-	-	hypothetical protein
192549..193526	+	325	28867411	-	PSPTO_0171	-	COG3039L	ISPssy, transposase
194114..194407	+	97	28867412	-	PSPTO_0172	-	-	hypothetical protein
194503..195480	+	325	28867413	qor	PSPTO_0173	-	COG0604CR	quinone oxidoreductase
195488..196045	-	185	28867414	-	PSPTO_0174	-	COG0009J	SUA5/yciO/yrdC family domain protein
196084..197268	-	394	28867415	-	PSPTO_0175	-	COG0758LU	DNA processing protein DprA
197323..198348	-	341	28867416	-	PSPTO_0176	-	COG1652S	LysM domain-containing protein
198474..198980	+	168	28867417	def-1	PSPTO_0177	-	COG0242J	polypeptide deformylase
199041..199985	+	314	28867418	fmt	PSPTO_0178	-	COG0223J	methionyl-tRNA formyltransferase
199982..201328	+	448	28867419	sun	PSPTO_0179	-	COG0144J	sun protein
201325..202698	+	457	28867420	trkA	PSPTO_0180	-	COG0569P	Trk system potassium uptake protein TrkA
202781..205195	+	804	28867421	-	PSPTO_0181	-	COG0243C	molybdopterin oxidoreductase subunit alpha
205278..206165	-	295	28867422	-	PSPTO_0182	-	COG1560M	lipid A biosynthesis lauroyl acyltransferase
206203..206754	-	183	28867423	tag	PSPTO_0183	-	COG2818L	DNA-3-methyladenine glycosidase I
206834..207781	+	315	28867424	glyQ	PSPTO_0184	-	COG0752J	glycyl-tRNA synthetase subunit alpha
207778..209832	+	684	28867425	glyS	PSPTO_0185	-	COG0751J	glycyl-tRNA synthetase subunit beta
209846..210397	+	183	28867426	-	PSPTO_0186	-	COG0241E	D,D-heptose 1,7-bisphosphate phosphatase
210455..211225	+	256	28867427	-	PSPTO_0187	-	COG0204I	hdtS protein
212468..213511	+	347	28867428	-	PSPTO_0189	-	COG0388R	nitrilase
215807..217363	+	518	28867429	-	PSPTO_0192	-	COG1961L	recombinase
217450..218259	-	269	28867430	-	PSPTO_0193	-	COG1484L	ISPsy4, transposition helper protein
218256..219278	-	340	28867431	-	PSPTO_0194	-	COG4584L	ISPsy4, transposase
219554..221107	-	517	28867432	-	PSPTO_0196	-	COG3436L	ISPsy5, transposase
221125..221484	-	119	28867433	-	PSPTO_0197	-	COG3436L	ISPsy5, Orf1
222528..223745	-	405	28867434	-	PSPTO_0200	-	COG0439I	hypothetical protein
224484..225383	-	299	28867435	-	PSPTO_0201	-	COG0189HJ	hypothetical protein
225386..226549	-	387	28867436	-	PSPTO_0202	-	COG2211G	membrane protein
226554..227672	-	372	28867437	-	PSPTO_0203	-	COG0031E	cysteine synthase
231080..232075	-	331	28867438	-	PSPTO_0205	-	-	hypothetical protein
232469..232945	-	158	28867439	-	PSPTO_0206	-	COG5642S	hypothetical protein
233476..234099	-	207	28867440	-	PSPTO_0208	-	-	hypothetical protein
234287..235525	-	412	28867441	lsyA-1	PSPTO_0209	-	COG0019E	diaminopimelate decarboxylase
235527..236402	-	291	28867442	-	PSPTO_0210	-	COG2962R	membrane protein
236402..237685	-	427	28867443	iucD	PSPTO_0211	-	COG3486Q	L-lysine 6-monooxygenase
237840..238775	+	311	28867444	lysR	PSPTO_0212	-	COG0583K	DNA-binding transcriptional regulator LysR
239026..239304	+	92	28867445	-	PSPTO_0213	-	COG3549R	proteic killer protein
239314..239619	+	101	28867446	-	PSPTO_0214	-	COG3093R	virulence-associated protein
239653..239934	-	93	28867447	-	PSPTO_0215	-	COG2960S	hypothetical protein
240015..240155	+	46	28867448	-	PSPTO_0216	-	-	hypothetical protein
240354..240692	+	112	28867449	glnK	PSPTO_0217	-	COG0347E	nitrogen regulatory protein P-II
240728..242065	+	445	28867450	amt-1	PSPTO_0218	-	COG0004P	ammonium transporter
242307..242732	+	141	28867451	-	PSPTO_0219	-	COG0432S	hypothetical protein
242831..243160	+	109	28867452	-	PSPTO_0220	-	-	hypothetical protein
243235..243927	-	230	28867453	-	PSPTO_0221	-	COG1011R	HAD-superfamily hydrolase
243920..244819	-	299	28867454	xerC	PSPTO_0222	-	COG4973L	integrase/recombinase XerC
244822..245556	-	244	28867455	-	PSPTO_0223	-	COG3159S	hypothetical protein
245570..246400	-	276	28867456	dapF	PSPTO_0224	-	COG0253E	diaminopimelate epimerase
246405..247652	-	415	28867457	lsyA-2	PSPTO_0225	-	COG0019E	diaminopimelate decarboxylase
247662..247808	-	48	28867458	lppL	PSPTO_0226	-	COG5567N	lipoprotein LppL
248015..248347	+	110	28867459	cyaY	PSPTO_0227	-	COG1965P	cyaY protein
248350..248586	+	78	28867460	-	PSPTO_0228	-	COG3313R	hypothetical protein
248724..249131	+	135	28867461	rnk	PSPTO_0229	-	COG0782K	regulator of nucleoside diphosphate kinase
249596..252442	-	948	28867462	cyaA	PSPTO_0230	-	COG3072F	adenylate cyclase
252625..252873	-	82	28867463	-	PSPTO_0231	-	COG4742K	hypothetical protein
253090..253365	-	91	28867464	-	PSPTO_0232	-	-	hypothetical protein
253459..254790	-	443	28867465	gltP	PSPTO_0233	-	COG1301C	proton/glutamate symporter
255243..256148	-	301	28867466	rimK	PSPTO_0234	-	COG0189HJ	ribosomal protein S6 modification protein
256145..256621	-	158	28867467	-	PSPTO_0235	-	COG4067O	hypothetical protein
256638..257420	-	260	28867468	-	PSPTO_0236	-	COG2200T	EAL domain-containing protein
257588..257995	+	135	28867469	hslR	PSPTO_0237	-	COG1188J	heat shock protein 15
258156..259058	+	300	28867470	hslO	PSPTO_0238	-	COG1281O	chaperonin, 33 kDa
259238..260782	+	514	28867471	pckA	PSPTO_0239	-	COG1866C	phosphoenolpyruvate carboxykinase
261079..261330	+	83	28867472	-	PSPTO_0240	-	-	prevent-host-death family protein
261343..261693	+	116	28867473	-	PSPTO_0241	-	-	hypothetical protein
262839..263411	-	190	28867474	-	PSPTO_0242	-	-	hypothetical protein
263550..264371	-	273	28867475	-	PSPTO_0243	-	-	hypothetical protein
265284..265997	-	237	28867476	-	PSPTO_0244	-	COG3450R	hypothetical protein
266158..267015	-	285	28867477	-	PSPTO_0245	-	COG2153R	GNAT family acetyltransferase
267161..267574	-	137	28867478	-	PSPTO_0246	-	-	hypothetical protein
267549..268217	+	222	28867479	dehII	PSPTO_0247	-	COG1011R	haloacid dehalogenase
268284..269558	+	424	28867480	-	PSPTO_0248	-	COG0665E	oxidoreductase, FAD-binding protein
269650..271287	+	545	28867481	-	PSPTO_0249	-	COG0747E	peptide ABC transporter periplasmic peptide-binding protein
271319..272275	+	318	28867482	-	PSPTO_0250	-	COG0601EP	peptide ABC transporter permease
272272..273150	+	292	28867483	-	PSPTO_0251	-	COG1173EP	peptide ABC transporter permease
273152..274993	+	613	28867484	-	PSPTO_0252	-	COG1123R	peptide ABC transporter ATP-binding protein
274990..275301	+	103	28867485	-	PSPTO_0253	-	COG1034C	hypothetical protein
275280..276689	+	469	28867486	-	PSPTO_0254	-	COG0446R	pyridine nucleotide-disulfide oxidoreductase family protein
276686..277840	+	384	28867487	-	PSPTO_0255	-	COG0665E	oxidoreductase, FAD-binding protein
277837..278994	+	385	28867488	argE-1	PSPTO_0256	-	COG0624E	acetylornithine deacetylase
279109..280566	+	485	28867489	gabD-1	PSPTO_0257	-	COG1012C	succinate-semialdehyde dehydrogenase
280829..281794	-	321	28867490	-	PSPTO_0258	-	COG0111HE	D-isomer specific 2-hydroxyacid dehydrogenase family protein
282043..283347	+	434	28867491	gabT-1	PSPTO_0259	-	COG0160E	4-aminobutyrate aminotransferase
283423..284079	+	218	28867492	-	PSPTO_0260	-	COG1011R	hypothetical protein
284127..284615	+	162	28867493	-	PSPTO_0261	-	COG1522K	AsnC family transcriptional regulator
284644..285102	-	152	28867494	-	PSPTO_0262	-	COG1943L	hypothetical protein
285536..287032	+	498	28867495	-	PSPTO_0263	-	COG0840NT	methyl-accepting chemotaxis protein
287061..288644	-	527	28867496	-	PSPTO_0264	-	COG4172R	peptide ABC transporter ATP-binding protein
288646..289668	-	340	28867497	-	PSPTO_0265	-	COG4239R	peptide ABC transporter permease
289668..290735	-	355	28867498	-	PSPTO_0266	-	COG4174R	peptide ABC transporter permease
290737..292653	-	638	28867499	-	PSPTO_0267	-	COG4166E	family 5 extracellular solute-binding protein
292765..295398	-	877	28867500	-	PSPTO_0268	-	COG1629P	TonB system transport protein
295690..296091	-	133	28867501	-	PSPTO_0269	-	COG0848U	biopolymer transport protein ExbD
296091..296798	-	235	28867502	-	PSPTO_0270	-	COG0811U	biopolymer transport protein ExbB
296849..297670	-	273	28867503	-	PSPTO_0271	-	COG0810M	tonB protein
298850..300016	-	388	28867504	iscS-1	PSPTO_0272	-	COG1104E	cysteine desulfurase
300484..300954	+	156	28867505	-	PSPTO_0273	-	COG1522K	AsnC family transcriptional regulator
301038..301292	+	84	28867506	-	PSPTO_0274	-	-	hypothetical protein
301329..302462	-	377	28867507	-	PSPTO_0275	-	COG2856E	DNA-binding protein
302698..303681	-	327	28867508	-	PSPTO_0276	-	COG0546R	haloacid dehalogenase-like family hydrolase
303927..304415	+	162	28867509	-	PSPTO_0277	-	-	hypothetical protein
304528..304968	-	146	28867510	-	PSPTO_0278	-	COG3152S	hypothetical protein
304985..305341	-	118	28867511	-	PSPTO_0279	-	COG2898S	hypothetical protein
305562..306266	-	234	28867512	-	PSPTO_0280	-	COG0024J	methionine aminopeptidase
306711..307076	-	121	28867513	-	PSPTO_0281	-	-	hypothetical protein
307260..307940	-	226	28867514	-	PSPTO_0282	-	-	membrane protein
308181..308624	-	147	28867515	-	PSPTO_0283	-	-	hypothetical protein
308896..309108	+	70	28867516	-	PSPTO_0284	-	-	hypothetical protein
309736..310818	-	360	28867517	-	PSPTO_0285	-	-	hypothetical protein
314157..315395	+	412	28867518	-	PSPTO_0287	-	COG4974L	site-specific recombinase, phage integrase family
316071..316271	+	66	28867519	-	PSPTO_0288	-	-	excisionase
316268..316423	+	51	28867520	-	PSPTO_0289	-	-	hypothetical protein
316546..316782	+	78	28867521	-	PSPTO_0290	-	-	hypothetical protein
316980..317789	-	269	28867522	-	PSPTO_0291	-	COG1484L	ISPsy4, transposition helper protein
317786..318808	-	340	28867523	-	PSPTO_0292	-	COG4584L	ISPsy4, transposase
319381..319689	+	102	28867524	-	PSPTO_0293	-	-	hypothetical protein
319703..319903	+	66	28867525	-	PSPTO_0294	-	-	hypothetical protein
320707..320928	-	73	28867526	-	PSPTO_0295	-	-	hypothetical protein
322507..322830	+	107	28867527	-	PSPTO_0296	-	-	hypothetical protein
322827..323117	+	96	28867528	-	PSPTO_0297	-	-	hypothetical protein
323239..323856	+	205	28867529	-	PSPTO_0298	-	COG1961L	resolvase
324439..325494	+	351	28867530	-	PSPTO_0299	-	COG0654HC	monooxygenase
325765..327207	+	480	28867531	gabD-2	PSPTO_0300	-	COG1012C	succinate-semialdehyde dehydrogenase
327391..328671	+	426	28867532	gabT-2	PSPTO_0301	-	COG0160E	4-aminobutyrate aminotransferase
328701..328877	+	58	28867533	-	PSPTO_0302	-	-	hypothetical protein
328831..330219	+	462	28867534	-	PSPTO_0303	-	COG1639T	response regulator
330437..331435	-	332	28867535	-	PSPTO_0304	-	COG2199T	sensory box/GGDEF domain protein
331569..332807	-	412	28867536	-	PSPTO_0305	-	COG1398I	fatty acid desaturase
332910..334841	+	643	28867537	-	PSPTO_0306	-	COG5001T	sensory box/GGDEF domain/EAL domain-containing protein
335032..335214	+	60	28867538	-	PSPTO_0307	-	COG5583S	hypothetical protein
335361..336377	+	338	28867539	sbp	PSPTO_0308	-	COG1613P	sulfate-binding protein
336472..337293	+	273	28867540	cysT	PSPTO_0309	-	COG0555O	sulfate ABC transporter permease CysT
337307..338179	+	290	28867541	-	PSPTO_0310	-	COG4208P	sulfate ABC transporter permease CysW
338182..339162	+	326	28867542	cysA	PSPTO_0311	-	COG1118P	sulfate ABC transporter, ATP-binding protein CysA
339425..339949	-	174	28867543	-	PSPTO_0312	-	COG4539S	hypothetical protein
340034..340738	+	234	28867544	-	PSPTO_0313	-	COG0664T	cyclic nucleotide-binding protein
340857..341858	+	333	28867545	-	PSPTO_0314	-	COG1840P	iron ABC transporter periplasmic iron-binding protein
342066..343682	+	538	28867546	-	PSPTO_0315	-	COG1178P	iron ABC transporter permease
343836..344918	+	360	28867547	gcvT-1	PSPTO_0316	-	COG0404E	glycine cleavage system T protein
344962..345348	+	128	28867548	gcvH-1	PSPTO_0317	-	COG0509E	glycine cleavage system H protein
345431..345751	-	106	28867549	-	PSPTO_0318	-	-	hypothetical protein
345891..347675	-	594	28867550	-	PSPTO_0319	-	COG2804NU	type IV pilus biogenesis protein
347786..348133	-	115	28867551	-	PSPTO_0320	-	-	hypothetical protein
348259..348738	+	159	28867552	-	PSPTO_0321	-	COG1522K	AsnC family transcriptional regulator
349816..351231	-	471	28867553	-	PSPTO_0322	-	COG3025S	adenylate cyclase
351346..352494	+	382	28867554	argE-2	PSPTO_0323	-	COG0624E	acetylornithine deacetylase
352570..353916	+	448	28867555	argA	PSPTO_0324	-	COG0548E	N-acetylglutamate synthase
